Columns,Month,,Year,IPCA12M
,6,1,1995,33.03
,7,1,1995,27.45
,8,1,1995,26.36
,9,1,1995,25.69
,10,1,1995,24.21
,11,1,1995,22.59
,12,1,1995,22.41
,1,1,1996,21.97
,2,1,1996,21.99
,3,1,1996,20.55
,4,1,1996,19.17
,5,1,1996,17.49
,6,1,1996,16.26
,7,1,1996,14.84
,8,1,1996,14.21
,9,1,1996,13.26
,10,1,1996,12.02
,11,1,1996,10.75
,12,1,1996,9.56
,1,1,1997,9.39
,2,1,1997,8.82
,3,1,1997,8.99
,4,1,1997,8.58
,5,1,1997,7.71
,6,1,1997,7.02
,7,1,1997,6.08
,8,1,1997,5.59
,9,1,1997,5.5
,10,1,1997,5.42
,11,1,1997,5.27
,12,1,1997,5.22
,1,1,1998,4.73
,2,1,1998,4.69
,3,1,1998,4.52
,4,1,1998,3.85
,5,1,1998,3.95
,6,1,1998,3.41
,7,1,1998,3.06
,8,1,1998,2.55
,9,1,1998,2.27
,10,1,1998,2.05
,11,1,1998,1.76
,12,1,1998,1.65
,1,1,1999,1.65
,2,1,1999,2.24
,3,1,1999,3.02
,4,1,1999,3.35
,5,1,1999,3.14
,6,1,1999,3.32
,7,1,1999,4.57
,8,1,1999,5.69
,9,1,1999,6.25
,10,1,1999,7.5
,11,1,1999,8.65
,12,1,1999,8.94
,1,1,2000,8.85
,2,1,2000,7.86
,3,1,2000,6.92
,4,1,2000,6.77
,5,1,2000,6.47
,6,1,2000,6.51
,7,1,2000,7.06
,8,1,2000,7.86
,9,1,2000,7.77
,10,1,2000,6.65
,11,1,2000,5.99
,12,1,2000,5.97
,1,1,2001,5.92
,2,1,2001,6.27
,3,1,2001,6.44
,4,1,2001,6.61
,5,1,2001,7.04
,6,1,2001,7.35
,7,1,2001,7.05
,8,1,2001,6.41
,9,1,2001,6.46
,10,1,2001,7.19
,11,1,2001,7.61
,12,1,2001,7.67
,1,1,2002,7.62
,2,1,2002,7.51
,3,1,2002,7.75
,4,1,2002,7.98
,5,1,2002,7.77
,6,1,2002,7.66
,7,1,2002,7.51
,8,1,2002,7.46
,9,1,2002,7.93
,10,1,2002,8.45
,11,1,2002,10.93
,12,1,2002,12.53
,1,1,2003,14.47
,2,1,2003,15.85
,3,1,2003,16.57
,4,1,2003,16.77
,5,1,2003,17.24
,6,1,2003,16.57
,7,1,2003,15.43
,8,1,2003,15.07
,9,1,2003,15.14
,10,1,2003,13.98
,11,1,2003,11.02
,12,1,2003,9.3
,1,1,2004,7.71
,2,1,2004,6.69
,3,1,2004,5.89
,4,1,2004,5.26
,5,1,2004,5.15
,6,1,2004,6.06
,7,1,2004,6.81
,8,1,2004,7.18
,9,1,2004,6.7
,10,1,2004,6.86
,11,1,2004,7.24
,12,1,2004,7.6
,1,1,2005,7.41
,2,1,2005,7.39
,3,1,2005,7.54
,4,1,2005,8.07
,5,1,2005,8.05
,6,1,2005,7.27
,7,1,2005,6.57
,8,1,2005,6.02
,9,1,2005,6.04
,10,1,2005,6.36
,11,1,2005,6.22
,12,1,2005,5.69
,1,1,2006,5.7
,2,1,2006,5.51
,3,1,2006,5.32
,4,1,2006,4.63
,5,1,2006,4.23
,6,1,2006,4.03
,7,1,2006,3.97
,8,1,2006,3.84
,9,1,2006,3.7
,10,1,2006,3.26
,11,1,2006,3.02
,12,1,2006,3.14
,1,1,2007,2.99
,2,1,2007,3.02
,3,1,2007,2.96
,4,1,2007,3
,5,1,2007,3.18
,6,1,2007,3.69
,7,1,2007,3.74
,8,1,2007,4.18
,9,1,2007,4.15
,10,1,2007,4.12
,11,1,2007,4.19
,12,1,2007,4.46
,1,1,2008,4.56
,2,1,2008,4.61
,3,1,2008,4.73
,4,1,2008,5.04
,5,1,2008,5.58
,6,1,2008,6.06
,7,1,2008,6.37
,8,1,2008,6.17
,9,1,2008,6.25
,10,1,2008,6.41
,11,1,2008,6.39
,12,1,2008,5.9
,1,1,2009,5.84
,2,1,2009,5.9
,3,1,2009,5.61
,4,1,2009,5.53
,5,1,2009,5.2
,6,1,2009,4.8
,7,1,2009,4.5
,8,1,2009,4.36
,9,1,2009,4.34
,10,1,2009,4.17
,11,1,2009,4.22
,12,1,2009,4.31
,1,1,2010,4.59
,2,1,2010,4.83
,3,1,2010,5.17
,4,1,2010,5.26
,5,1,2010,5.22
,6,1,2010,4.84
,7,1,2010,4.6
,8,1,2010,4.49
,9,1,2010,4.7
,10,1,2010,5.2
,11,1,2010,5.63
,12,1,2010,5.91
,1,1,2011,5.99
,2,1,2011,6.01
,3,1,2011,6.3
,4,1,2011,6.51
,5,1,2011,6.55
,6,1,2011,6.71
,7,1,2011,6.87
,8,1,2011,7.23
,9,1,2011,7.31
,10,1,2011,6.97
,11,1,2011,6.64
,12,1,2011,6.5
,1,1,2012,6.22
,2,1,2012,5.84
,3,1,2012,5.24
,4,1,2012,5.1
,5,1,2012,4.99
,6,1,2012,4.92
,7,1,2012,5.2
,8,1,2012,5.24
,9,1,2012,5.28
,10,1,2012,5.45
,11,1,2012,5.53
,12,1,2012,5.84
,1,1,2013,6.15
,2,1,2013,6.31
,3,1,2013,6.59
,4,1,2013,6.49
,5,1,2013,6.5
,6,1,2013,6.7
,7,1,2013,6.27
,8,1,2013,6.09
,9,1,2013,5.86
,10,1,2013,5.84
,11,1,2013,5.77
,12,1,2013,5.91
,1,1,2014,5.59
,2,1,2014,5.68
,3,1,2014,6.15
,4,1,2014,6.28
,5,1,2014,6.37
,6,1,2014,6.52
,7,1,2014,6.5
,8,1,2014,6.51
,9,1,2014,6.75
,10,1,2014,6.59
,11,1,2014,6.56
,12,1,2014,6.41
,1,1,2015,7.14
,2,1,2015,7.7
,3,1,2015,8.13
,4,1,2015,8.17
,5,1,2015,8.47
,6,1,2015,8.89
,7,1,2015,9.56
,8,1,2015,9.53
,9,1,2015,9.49
,10,1,2015,9.93
,11,1,2015,10.48
,12,1,2015,10.67
,1,1,2016,10.71
,2,1,2016,10.36
,3,1,2016,9.39
,4,1,2016,9.28
,5,1,2016,9.32
,6,1,2016,8.84
,7,1,2016,8.74
,8,1,2016,8.97
,9,1,2016,8.48
,10,1,2016,7.87
,11,1,2016,6.99
,12,1,2016,6.29
,1,1,2017,5.35
,2,1,2017,4.76
,3,1,2017,4.57
,4,1,2017,4.08
,5,1,2017,3.6
,6,1,2017,3
,7,1,2017,2.71
,8,1,2017,2.46
,9,1,2017,2.54
,10,1,2017,2.7
,11,1,2017,2.8
,12,1,2017,2.95
,1,1,2018,2.86
,2,1,2018,2.84
,3,1,2018,2.68
,4,1,2018,2.76
,5,1,2018,2.86
,6,1,2018,4.39
,7,1,2018,4.48
,8,1,2018,4.19
,9,1,2018,4.53
,10,1,2018,4.56
,11,1,2018,4.05
,12,1,2018,3.75
,1,1,2019,3.78
